Date_Time,Lamp_State,Fan_State,Bathroom_Humidity,Bathroom_Temperature,Bedroom1_Humidity,Bedroom1_Temperature,Kitchen_Humidity,Kitchen_Temperature,Diningroom_Humidity,Diningroom_Temperature,Livingroom1_Humidity,Livingroom1_Temperature,Livingroom2_Humidity,Livingroom2_Temperature,Bedroom2_Humidity,Bedroom2_Temperature,Bedroom2-Bathroom_Door,Bedroom1-Livingroom_Door,Livingroom-Kitchen_Door,Livingroom-Bathroom_Door,Bedroom1-Bathroom_Door,N/A(Nothing),Bedroom1-Back_Door,Livingroom-Front_Door,Bedroom1-2ft_Window,Livingroom-2ft_Window,Bedroom2-2ft_Window,Kitchen-2ft_Window,Bedroom2-3ft_Window,Livingroom-3ft_Window,Kitchen-3ft_Window,Bedroom1-3ft_Window
2019-07-12-10:33:40.385592,0,1,63,75.2,52,78.8,65,71.6,61,71.6,56,73.4,58,73.4,56,75.2,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0
2019-07-12-10:34:46.735734,0,1,63,75.2,52,77,66,71.6,65,71.6,56,73.4,58,73.4,56,75.2,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0
2019-07-12-10:35:53.079334,0,1,63,75.2,53,77,65,71.6,65,71.6,57,73.4,157,51.8,56,75.2,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0
2019-07-12-10:36:56.892794,0,1,64,75.2,53,77,65,71.6,65,71.6,57,73.4,59,73.4,56,75.2,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0
2019-07-12-10:38:03.235388,0,1,64,75.2,155,53.6,65,71.6,65,71.6,58,73.4,59,73.4,56,75.2,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0
2019-07-12-10:39:19.692863,0,1,65,75.2,54,77,65,71.6,66,71.6,59,73.4,60,73.4,56,75.2,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0
2019-07-12-10:40:41.261256,0,1,65,75.2,54,77,62,71.6,66,71.6,59,73.4,60,73.4,56,75.2,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0
2019-07-12-10:41:55.182584,0,1,66,73.4,55,77,65,71.6,62,71.6,59,73.4,59,73.4,56,75.2,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0
2019-07-12-10:43:06.570369,0,1,65,73.4,55,77,65,71.6,66,71.6,60,73.4,60,73.4,57,75.2,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0
2019-07-12-10:44:17.976769,0,1,66,73.4,55,77,65,71.6,66,71.6,60,73.4,60,73.4,57,75.2,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0
2019-07-12-10:45:24.316259,0,1,67,73.4,56,77,65,71.6,65,71.6,158,51.8,60,71.6,57,75.2,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0
2019-07-12-10:46:30.643514,0,1,67,73.4,57,77,65,71.6,65,71.6,60,73.4,60,71.6,57,75.2,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0
2019-07-12-10:47:42.071690,0,1,67,73.4,57,77,65,71.6,65,71.6,60,73.4,60,71.6,57,75.2,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0
2019-07-12-10:48:50.938518,0,1,67,73.4,57,77,64,71.6,65,71.6,60,73.4,60,71.6,57,75.2,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1
2019-07-12-10:49:59.817269,0,0,67,73.4,57,77,64,71.6,65,71.6,60,73.4,61,73.4,57,75.2,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1
2019-07-12-10:51:16.267870,0,0,66,73.4,56,77,64,71.6,160,51.8,60,73.4,61,71.6,57,75.2,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1
2019-07-12-10:52:30.197826,0,0,66,73.4,56,77,65,71.6,64,71.6,60,73.4,61,71.6,57,75.2,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1
2019-07-12-10:53:44.134377,0,0,66,73.4,56,77,64,71.6,64,71.6,60,71.6,61,71.6,57,75.2,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0
2019-07-12-10:54:55.536279,0,0,67,73.4,56,77,64,71.6,64,71.6,60,71.6,61,71.6,56,75.2,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0
2019-07-12-10:55:59.374567,0,0,66,73.4,56,75.2,65,71.6,64,71.6,60,71.6,61,71.6,56,75.2,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0
2019-07-12-10:57:23.434159,0,0,66,73.4,56,75.2,64,71.6,64,71.6,60,71.6,61,71.6,56,75.2,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0
2019-07-12-10:58:39.914896,0,0,66,73.4,56,75.2,64,71.6,64,71.6,60,73.4,61,71.6,56,75.2,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
2019-07-12-10:59:46.253843,0,0,67,73.4,57,75.2,64,71.6,64,71.6,60,71.6,61,71.6,56,75.2,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
2019-07-12-11:00:52.622347,0,0,67,73.4,57,75.2,64,71.6,64,71.6,59,71.6,61,71.6,56,75.2,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
2019-07-12-11:02:04.015514,0,0,67,73.4,57,75.2,64,71.6,64,71.6,59,71.6,60,71.6,57,75.2,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
2019-07-12-11:03:15.401022,0,0,66,73.4,57,75.2,65,71.6,64,71.6,59,71.6,60,71.6,57,75.2,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
2019-07-12-11:04:26.782549,0,0,67,73.4,58,75.2,65,71.6,64,71.6,59,71.6,60,71.6,56,75.2,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0
2019-07-12-11:05:30.571625,0,0,67,73.4,58,75.2,65,71.6,64,71.6,59,71.6,60,71.6,57,75.2,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0
